ID	Lat	Lon	Average	Variance	Votes	Geograph URI
208	54.0985	-4.76076	2.3333	0.2222	2,3,2	http://www.geograph.org.uk/photo/2335
209	54.0902	-4.72962	2.3750	1.2344	3,1,1,3,4,1,3,3	http://www.geograph.org.uk/photo/2339
210	53.5189	-2.00754	6.8571	4.1224	8,6,9,4,5,10,6	http://www.geograph.org.uk/photo/2340
211	54.0816	-4.71376	3.0000	0.3333	3,3,3,2,4,3	http://www.geograph.org.uk/photo/2342
212	53.0871	-2.26132	2.0000	0.3333	2,2,2,1,3,2	http://www.geograph.org.uk/photo/2413
213	51.3236	-0.167532	4.8000	10.5600	1,7,3,10,3	http://www.geograph.org.uk/photo/2439
214	57.1727	-3.79468	6.2143	3.4541	4,5,8,7,7,3,4,4,8,6,6,9,8,8	http://www.geograph.org.uk/photo/2479
215	51.7787	-2.34792	3.6250	1.2344	5,3,4,4,2,2,4,5	http://www.geograph.org.uk/photo/2485
216	51.9772	-1.57046	7.0000	7.1429	8,10,2,10,8,5,6	http://www.geograph.org.uk/photo/2493
217	52.1579	-0.111085	4.0000	2.6667	3,4,5,6,1,5	http://www.geograph.org.uk/photo/2516
218	51.947	-0.668577	5.1429	1.2653	4,6,3,5,6,6,6	http://www.geograph.org.uk/photo/2528
219	58.6031	-3.66085	6.6667	0.5556	7,7,7,7,5,7	http://www.geograph.org.uk/photo/2541
220	52.3987	-1.93092	5.3333	5.7778	7,5,4,2,6,5,7,10,2	http://www.geograph.org.uk/photo/2544
221	52.6807	0.136291	6.1429	3.8367	8,5,7,2,6,7,8	http://www.geograph.org.uk/photo/2568
222	53.4371	-2.45917	4.8333	1.1389	4,5,6,5,3,6	http://www.geograph.org.uk/photo/2571
223	53.4857	-2.04054	2.1538	2.8994	1,1,7,1,1,3,1,2,3,1,1,4,2	http://www.geograph.org.uk/photo/2584
224	51.4388	-1.12948	2.2857	0.2041	2,2,2,2,2,3,3	http://www.geograph.org.uk/photo/2590
225	52.5771	-0.723366	4.8571	2.9796	2,3,6,4,6,7,6	http://www.geograph.org.uk/photo/2623
226	60.0401	-1.3268	8.6000	1.2400	9,8,8,9,6,9,10,9,10,8	http://www.geograph.org.uk/photo/2629
227	50.9883	-1.02394	3.7500	3.6875	3,7,3,2	http://www.geograph.org.uk/photo/2633
228	50.9792	-1.00988	3.1429	1.2653	4,5,4,3,2,2,2	http://www.geograph.org.uk/photo/2638
229	52.536	-1.73902	5.8333	3.1389	7,7,8,6,3,4	http://www.geograph.org.uk/photo/2639
230	52.5289	-1.77002	3.8333	3.8056	7,2,3,6,2,3	http://www.geograph.org.uk/photo/2643
231	50.9882	-1.00969	3.6667	1.2222	4,5,3,5,3,2	http://www.geograph.org.uk/photo/2644
232	50.988	-0.995443	4.5000	1.2500	6,4,5,3	http://www.geograph.org.uk/photo/2645
233	52.5217	-1.79659	3.3333	3.7778	5,6,1,5,4,1,5,1,2	http://www.geograph.org.uk/photo/2646
234	56.4836	-5.98788	3.5556	4.4691	1,7,1,6,3,5,2,2,5	http://www.geograph.org.uk/photo/2648
235	50.9879	-0.981196	5.8889	1.4321	6,7,7,7,6,5,6,3,6	http://www.geograph.org.uk/photo/2652
236	50.9788	-0.967149	5.0000	4.2500	5,6,7,3,9,4,3,3	http://www.geograph.org.uk/photo/2659
237	50.9878	-0.96695	5.0000	1.6000	5,5,5,3,7	http://www.geograph.org.uk/photo/2660
238	51.0058	-0.96655	2.6667	0.5556	3,2,2,3,4,2	http://www.geograph.org.uk/photo/2662
239	50.9968	-0.96675	4.0769	5.6095	4,8,1,3,3,4,4,4,3,2,5,10,2	http://www.geograph.org.uk/photo/2663
240	52.3035	-1.55998	2.7500	0.1875	3,3,3,2	http://www.geograph.org.uk/photo/2680
241	52.2705	-1.63945	4.2857	4.2041	3,2,9,4,4,4,4	http://www.geograph.org.uk/photo/2687
242	52.2099	-1.98536	5.4286	4.5306	2,6,4,9,6,4,7	http://www.geograph.org.uk/photo/2695
243	60.1555	-1.10825	4.8750	6.3594	4,4,4,3,8,4,10,2	http://www.geograph.org.uk/photo/2707
244	52.8411	-1.19524	5.2857	3.6327	3,3,4,8,7,5,7	http://www.geograph.org.uk/photo/2708
245	50.9979	-2.43041	4.3333	3.3333	2,8,6,4,5,5,3,4,2	http://www.geograph.org.uk/photo/2725
246	53.4192	-2.45898	4.6000	5.4400	2,8,6,5,2	http://www.geograph.org.uk/photo/2731
247	51.0005	-2.44896	4.8182	0.8760	4,5,6,4,7,4,4,5,5,4,5	http://www.geograph.org.uk/photo/2735
248	53.4372	-2.44412	2.3333	1.2222	3,1,4,2,3,1	http://www.geograph.org.uk/photo/2738
249	53.4101	-2.47393	3.2500	1.1875	3,3,5,2	http://www.geograph.org.uk/photo/2742
250	51.2182	0.897164	1.7143	0.2041	1,2,2,2,2,1,2	http://www.geograph.org.uk/photo/2763
251	52.8975	-2.51292	1.6000	0.6400	1,1,1,3,2	http://www.geograph.org.uk/photo/2766
252	51.3197	-0.436803	4.0000	3.0000	6,6,3,5,2,2	http://www.geograph.org.uk/photo/2787
253	51.1505	-0.694489	1.3750	0.2344	2,1,1,2,2,1,1,1	http://www.geograph.org.uk/photo/2790
